ServiceSystem_Name,ServiceSystem_Description,ServiceSite_ServiceSite_Both,ServiceSystem_HoursOfOperation,ServiceSystem_Websiteurl,ServiceSystem_PhoneMain,ServiceCustom_MatchlistPhone1Note,ServiceSystem_EligibilityTextArea,ServiceSystem_ApplicationintakeProcess,ServiceSystem_DocumentsRequired,ServiceCustom_IsThereAFeeForTheService,ServiceSystem_FeeStructure
Benevolence Ministry,"Offers perishable and nonperishable food, and hygiene products such as soap, shampoo, and toothpaste for persons in need. Limited service area.",Southeastern Church Of Christ,Tues 11am-2pm,,317-352-8753,Food Pantry,* Living within boundaries: N-Raymond St.; S-Southport Rd; E-Acton Rd.;  W-Sherman Dr. in Marion County* Limit one visit every other week.,Walk in.,"* Photo ID* Proof of address (such as recent utility bill, lease, or official mail)",,
Love Center Food Pantry,Provides emergency food assistance and toiletries for persons in need. Written referral required; open service area.,Saint John's Missionary Baptist Church,Mon and Wed 11am-2pm; Sat 9am-11am,,317-636-7534,Love Center,Open,Walk in.,Nothing needed,false,
Dalton's Place Food Pantry,Provides food for persons in need. Open service area. All activities are outdoors; please dress for the weather.,Jr Dalton,Sat 8am-10am,,317-955-2581,,Open,Walk in.,Nothing needed,false,None; donations requested
Food Pantry,Provides nonperishable food to individuals and families in need. Limited ervice area.,Saint Simon The Apostle Catholic Church,Office: Mon-Thurs 7:30am-3:30pm,,317-826-6000,,Living in zip codes 46235 and 46236,Call during the parish office hours to request assistance.,Photo ID,false,
Christ's Storehouse,Provides perishable and nonperishable food and hygiene supplies to persons in need. Limited service area.,Glory Point,Monthly 2nd Tues noon-2pm,,317-255-0299,,Living in zip codes 46220 or 46240 in Marion County,Walk in during pantry hours; go to back of building.,* Photo ID* Proof of address (such as recent utility bill),,
Food Pantry,Provides nonperishable food to persons in need. Open service area.,Mount Carmel Church,Wed noon-2pm,,317-890-2740,,Open; limit one visit every 30 days,Walk in; use the west entrance.,* Photo ID* Proof of address (lease or official mail with postmark date less than 60 days old),false,
Client Choice Food Pantry,"Offers nonperishable food, meat option, and bread to persons in need. Clients may choose their own food items from available selections. Long wait times are typical. One shopper per household. Limited service area.",Society Of Saint Vincent De Paul - Indianapolis,Tues and Fri 8am-noon; Thurs 8am-noon and 5pm-7pm; Sat 8am-11am,,317-687-0169,,Living in Marion County (may consider surrounding areas) -- Age 18 and older --  Household income within 165% Federal Poverty Level -- Limit one visit per week,Walk in,"Photo ID -- Proof of address (utility bill, official mail, or notarized lease) -- Shopping Card (after first visit) -- If receiving baby supplies: Birth certificate for children age 3 and under",false,
Boulevard Place Food Pantry,Provides food for people in need. Limited service area.,Saint Vincent De Paul Boulevard Place Food Pantry,Mon and Thurs 8:30-10:30am and 2pm-4pm ;  Wed 8:30am-10:30am and 5:30pm-7:30pm ;  Fri 8:30am-10:30am; Sat 9am-noon,,317-924-3461,,"(1) Living within boundaries: N-96th St.; S-34th St.; E-Keystone Ave.; W-White River    (Boundaries include the parishes of Saint Thomas Aquinas, Saint Joan of Arc,     Immaculate Heart, Christ the King, and Saint Luke.) (2) May visit one time on or before the 15th of the month and one time after the 15th. (3) If you do not live in the boundaries you still can shop one time.",Walk in.,"Proof of residence- Your choice: driver's license (if it shows current address) or business mail postmarked within 60 days, or lease, or other document.",false,
Fbc Community Food Pantry,Provides nonperishable food once each month to persons in need. Limited service area.,First Baptist Church Of Indianapolis,Monthly last Tues 4pm-6pm,,317-846-5821,,Living in Marion County,"Walk in; use entrance on the west side of the church, door number 3.",* Photo ID* Proof of address (driver's license or recent utility bill),,
Community Dinner,Offers a weekly hot meal open to all.,Anna's House,Wed 5:30pm-7pm,www.annashousemsc.org,317-631-5504,,Open,Walk in.,Nothing needed,false,None
The Lord's Pantry At Anna's House,Provides nonperishable food to persons in need. Limited service area. Register upon arrival. Accepts donations for the food pantry and other outreach programs.,Anna's House,Registration: Sat 8:30am-10:30am Food Distribution: Sat 10:30am-noon,www.annashousemsc.org,317-631-5504,,Living within boundaries: N-12th St; S-Washington St; E-White River Pkwy; W-Holmes Ave,Walk in and register.,ID for all adults in the household -- Proof of residence dated within last 30 days -- Social Security cards for all children in household,false,
Love Feast Ministry,"Provides a hot, sit-down meal weekly to anyone in need. Limited delivery available to seniors 60 and older and shut-ins of any age; advance request required.",Trinity Christian Methodist Episcopal Church,Wed 11am-1pm,,317-925-8275,Main,For Sit-Down Meal: OpenFor Delivery:  * Living within boundaries: N - 46th St.; S-16th St.; E-German Church Rd.; W-Riverside Dr.   * Ages 60 and older -OR- shut-ins of any age,"Meal: Walk in.Delivery: Call to provide name, address, and number of meals needed; deadline is Tuesday 3pm for Wednesday delivery.",Nothing needed.,,
Community Food Pantry,Provides fresh and nonpershiable food once each month to persons in need. Limited service area.,Trinity Christian Methodist Episcopal Church,Monthly 3rd Tues 11am-1pm,,317-925-8275,Main,Living in Marion County,Walk in during pantry hours.,Photo ID,,
Fishes And Loaves,Provides food to persons in need. Limited service area.,Saint Timothy Episcopal Church,Monthly 3rd Tues 10am-noon and 4th Tues 6pm-8pm,,317-784-6925,,Open,Walk in.,(1) Photo ID for household members 18 and older(2) Proof of address(3) Social security numbers for all household members,false,None.
Food Pantry,Provides food to persons in need. Limited service area. The pantry may be used once within a 30-day period.,Life Church at Eagle Creek,Monthly 1st Sat 10am-noon,,317-328-9872,,Open,Walk in.,Nothing needed.,false,None
Tab's Open Door Ministry,Serves a hot lunch three times a week to all in need. Carry-out food is also available.,Tabernacle Presbyterian Church,"Mon, Wed, and Fri 11am-12:30pm",,317-923-5458,,Open,"Walk in. For wheelchair access, call ahead for directions.",,false,
Ritter Avenue Free Methodist Church Shepherds Storehouse,Provides perishable and nonperishable food to people in need. Open service area.,Ritter Avenue Free Methodist Church,Mon 5:30pm-7:30pm,www.ritterchurch.org,317-359-2796,,Open,Walk in,Nothing needed,false,
Food Pantry,Provides food to people in need. Limited service area.,The Church of Lord Jesus Christ,Monthly 2nd and 4th Thurs 11:30am-1:30pm,,,,(1) Living in Marion County(2) Limit two visits per month,Walk in.,Nothing needed,false,None
Food Pantry,"Provides perishable and nonperishable food, baby food and formula, hygiene products, and cleaning supplies to people in need. Limited service area.",Saint Christopher Catholic Church,Tues and Fri 9am-10:15am,www.saintchristopherparish.org,317-241-6314,x 2,"Living in 46123, 46214, 46222, 46224, 46231, 46234, 46241",Walk in.,Proof of residence,false,
Food Pantry,Provides nonperishable food to those in need. Limited service area.,"Church of the Living Water, The",Monthly 3rd Sun 1pm-3pm,www.churchofthelivingwaterindy.com/,317-531-1457,,open,Walk in during services hours to sign in.,,false,
